modality,feature,bin_idx,time_label,cohens_d,abs_cohens_d,p_value,significant,n_invest,n_keep,significant_bonferroni
eeg,eeg_F3,2,-1.0s to -0.5s,-0.12309720691437148,0.12309720691437148,2.0751060610506214e-08,True,5608,3300,True
eeg,eeg_F3,3,-0.5s to 0.0s,-0.04910692204736696,0.04910692204736696,0.02522769332652872,True,5608,3300,False
eeg,eeg_Fz,0,-2.0s to -1.5s,-0.05152795415984066,0.05152795415984066,0.018864590237008934,True,5608,3300,False
eeg,eeg_Fz,1,-1.5s to -1.0s,-0.0765906561010286,0.0765906561010286,0.00048359376653794823,True,5608,3300,False
eeg,eeg_Fz,2,-1.0s to -0.5s,-0.044824144597437644,0.044824144597437644,0.04107505336406313,True,5608,3300,False
eeg,eeg_Fz,3,-0.5s to 0.0s,-0.019799532977456926,0.019799532977456926,0.3668393359205345,False,5608,3300,False
eeg,eeg_F4,0,-2.0s to -1.5s,-0.0037062205409868643,0.0037062205409868643,0.8658569623247981,False,5608,3300,False
eeg,eeg_F4,1,-1.5s to -1.0s,-0.12299022453619707,0.12299022453619707,2.1341780258068664e-08,True,5608,3300,True
eeg,eeg_F4,2,-1.0s to -0.5s,-0.11300559815612346,0.11300559815612346,2.6499576208523315e-07,True,5608,3300,True
eeg,eeg_F4,3,-0.5s to 0.0s,-0.029194837185957327,0.029194837185957327,0.1833250698571041,False,5608,3300,False
eeg,eeg_C4,0,-2.0s to -1.5s,0.0027007814055763405,0.0027007814055763405,0.9020301839614516,False,5608,3300,False
eeg,eeg_C4,1,-1.5s to -1.0s,-0.10855543971406956,0.10855543971406956,7.638518901877259e-07,True,5608,3300,True
eeg,eeg_C4,2,-1.0s to -0.5s,-0.10756915081726771,0.10756915081726771,9.607022826225537e-07,True,5608,3300,True
eeg,eeg_C4,3,-0.5s to 0.0s,-0.06249959945156347,0.06249959945156347,0.0043997614843394595,True,5608,3300,False
eeg,eeg_P4,0,-2.0s to -1.5s,-0.0807900150970951,0.0807900150970951,0.0002324342168574594,True,5608,3300,True
eeg,eeg_P4,1,-1.5s to -1.0s,-0.20797406772491164,0.20797406772491164,3.219853880868264e-21,True,5608,3300,True
eeg,eeg_P4,2,-1.0s to -0.5s,-0.10574966417089773,0.10574966417089773,1.459100746007329e-06,True,5608,3300,True
eeg,eeg_P4,3,-0.5s to 0.0s,-0.07210961937359188,0.07210961937359188,0.0010175020955604458,True,5608,3300,False
eeg,eeg_POz,0,-2.0s to -1.5s,-0.0608092047534546,0.0608092047534546,0.0055886773904849025,True,5608,3300,False
eeg,eeg_POz,1,-1.5s to -1.0s,-0.18951913145182359,0.18951913145182359,6.697784644122377e-18,True,5608,3300,True
eeg,eeg_POz,2,-1.0s to -0.5s,-0.07839244362515313,0.07839244362515313,0.0003546453006720756,True,5608,3300,False
eeg,eeg_POz,3,-0.5s to 0.0s,-0.06898854709188312,0.06898854709188312,0.0016693328827918558,True,5608,3300,False
eeg,eeg_C3,0,-2.0s to -1.5s,-0.011745540559488543,0.011745540559488543,0.5924160518783433,False,5608,3300,False
eeg,eeg_C3,1,-1.5s to -1.0s,-0.08801576982371315,0.08801576982371315,6.076923780272171e-05,True,5608,3300,True
eeg,eeg_C3,2,-1.0s to -0.5s,-0.09804354725453499,0.09804354725453499,7.96353407064003e-06,True,5608,3300,True
eeg,eeg_C3,3,-0.5s to 0.0s,-0.09074471161519772,0.09074471161519772,3.564866198052026e-05,True,5608,3300,True
eeg,eeg_Cz,0,-2.0s to -1.5s,-0.015834307880007708,0.015834307880007708,0.47048435100633795,False,5608,3300,False
eeg,eeg_Cz,1,-1.5s to -1.0s,-0.14743873321547654,0.14743873321547654,1.9260776037857493e-11,True,5608,3300,True
eeg,eeg_Cz,2,-1.0s to -0.5s,0.12422148963795308,0.12422148963795308,1.542873588175629e-08,True,5608,3300,True
eeg,eeg_Cz,3,-0.5s to 0.0s,-0.06835044407315322,0.06835044407315322,0.0018428645295913994,True,5608,3300,False
eeg,eeg_O2,0,-2.0s to -1.5s,-0.029892988085302108,0.029892988085302108,0.17307095008241982,False,5608,3300,False
eeg,eeg_O2,1,-1.5s to -1.0s,-0.179655573034172,0.179655573034172,3.0067432003085716e-16,True,5608,3300,True
eeg,eeg_O2,2,-1.0s to -0.5s,-0.08632273682935272,0.08632273682935272,8.398288914891394e-05,True,5608,3300,True
eeg,eeg_O2,3,-0.5s to 0.0s,-0.084698124420688,0.084698124420688,0.00011395077362429881,True,5608,3300,True
