feature,bin_idx,time_start,time_end,time_label,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
gaze_dispersion_x,0,-2.0,-1.5,-2.0s to -1.5s,0.22833997011184692,0.24303844571113586,-0.01469847559928894,-0.7416552901268005,0.45837005972862244,-0.03290286287665367,0.03290286287665367,False,False
gaze_dispersion_x,1,-1.5,-1.0,-1.5s to -1.0s,0.2519892156124115,0.23853343725204468,0.013455778360366821,0.6590458154678345,0.5099307298660278,0.029237965121865273,0.029237965121865273,False,False
gaze_dispersion_x,2,-1.0,-0.5,-1.0s to -0.5s,0.2683921456336975,0.23994357883930206,0.028448566794395447,1.3557220697402954,0.1753179281949997,0.06014537438750267,0.06014537438750267,False,False
gaze_dispersion_x,3,-0.5,0.0,-0.5s to 0.0s,0.25237083435058594,0.239535853266716,0.012834981083869934,0.6290898323059082,0.5293511748313904,0.027908997610211372,0.027908997610211372,False,False
gaze_dispersion_y,0,-2.0,-1.5,-2.0s to -1.5s,0.20271126925945282,0.21582594513893127,-0.013114675879478455,-0.6368861794471741,0.5242608189582825,-0.028254877775907516,0.028254877775907516,False,False
gaze_dispersion_y,1,-1.5,-1.0,-1.5s to -1.0s,0.22569020092487335,0.21178923547267914,0.013900965452194214,0.6550600528717041,0.5124930739402771,0.029061144217848778,0.029061144217848778,False,False
gaze_dispersion_y,2,-1.0,-0.5,-1.0s to -0.5s,0.23771165311336517,0.21020592749118805,0.027505725622177124,1.2619264125823975,0.20710057020187378,0.055984217673540115,0.055984217673540115,False,False
gaze_dispersion_y,3,-0.5,0.0,-0.5s to 0.0s,0.22052784264087677,0.21287596225738525,0.007651880383491516,0.36334463953971863,0.7163800001144409,0.016119452193379402,0.016119452193379402,False,False
gaze_path_length,0,-2.0,-1.5,-2.0s to -1.5s,1.0239766836166382,1.0369073152542114,-0.012930631637573242,-0.10365469753742218,0.9174521565437317,-0.004598546307533979,0.004598546307533979,False,False
gaze_path_length,1,-1.5,-1.0,-1.5s to -1.0s,1.1146243810653687,0.9267551898956299,0.18786919116973877,1.5405193567276,0.12356852740049362,0.06834374368190765,0.06834374368190765,False,False
gaze_path_length,2,-1.0,-0.5,-1.0s to -0.5s,1.1819087266921997,0.9356290102005005,0.24627971649169922,1.960286259651184,0.050080422312021255,0.08696632087230682,0.08696632087230682,False,False
gaze_path_length,3,-0.5,0.0,-0.5s to 0.0s,1.1545027494430542,1.0625194311141968,0.09198331832885742,0.680474042892456,0.49627113342285156,0.03018861450254917,0.03018861450254917,False,False
