subject_id,overall_acc,amb_high,amb_low,amb_medium,rt_fast,rt_slow,mean_across_amb,std_across_amb,range_across_amb,mean_across_rt,std_across_rt,device,date,time
0920_1600_539136F,0.7734375,0.7209302325581395,1.0,0.6818181818181818,0.9285714285714286,0.6388888888888888,0.8009161381254404,0.1735172215442542,0.31818181818181823,0.7837301587301587,0.204836488200865,539136F,0920,1600
0920_1600_9M4VCHG,0.78125,0.6046511627906976,0.9772727272727272,0.6829268292682927,0.8253968253968254,0.6615384615384615,0.7549502397772393,0.19647451825940176,0.37262156448202954,0.7434676434676435,0.11586536023838176,9M4VCHG,0920,1600
0920_1600_U9TEJGM,0.6504065040650406,0.7073170731707317,0.8095238095238095,0.475,0.6,0.6470588235294118,0.6639469608981804,0.17142715585192675,0.33452380952380956,0.6235294117647059,0.033275613232308154,U9TEJGM,0920,1600
0922_1000_539136F,0.8292682926829268,0.575,0.9534883720930232,0.925,0.8478260869565217,0.7096774193548387,0.8178294573643411,0.21077833346675579,0.3784883720930232,0.7787517531556802,0.09768585967303633,539136F,0922,1000
0922_1000_9M4VCHG,0.7054263565891473,0.3255813953488372,0.8809523809523809,0.9545454545454546,0.8085106382978723,0.6585365853658537,0.7203597436155577,0.3438625354925553,0.6289640591966175,0.733523611831863,0.10604766983026057,9M4VCHG,0922,1000
0922_1000_U9TEJGM,0.7363636363636363,0.5405405405405406,0.8292682926829268,0.71875,0.9285714285714286,0.6979166666666666,0.6961862777411557,0.1456803689106034,0.2887277521423862,0.8132440476190477,0.16309754625582573,U9TEJGM,0922,1000
0923_1000_539136F,0.9465648854961832,0.7674418604651163,1.0,1.0,0.9,0.6363636363636364,0.9224806201550387,0.13426750446270364,0.2325581395348837,0.7681818181818182,0.18641906049463527,539136F,0923,1000
0923_1000_9M4VCHG,0.7633587786259542,0.3181818181818182,1.0,0.9545454545454546,0.8316831683168316,0.5666666666666667,0.7575757575757577,0.38120441289118556,0.6818181818181819,0.6991749174917492,0.18739496544316753,9M4VCHG,0923,1000
0923_1000_U9TEJGM,0.640625,0.3809523809523809,0.6363636363636364,0.9047619047619048,0.6363636363636364,0.6581196581196581,0.6406926406926406,0.26193159320183285,0.523809523809524,0.6472416472416472,0.015383830515325046,U9TEJGM,0923,1000
0923_1600_539136F,0.7107438016528925,0.6097560975609756,0.8048780487804879,0.8205128205128205,0.8888888888888888,0.425,0.745048988951428,0.11742757924513345,0.2107567229518449,0.6569444444444444,0.32801897905042615,539136F,0923,1600
0923_1600_9M4VCHG,0.7846153846153846,0.7674418604651163,0.7674418604651163,0.8636363636363636,0.8484848484848485,0.5161290322580645,0.7995066948555322,0.05553792230048196,0.09619450317124734,0.6823069403714566,0.23501105142074896,9M4VCHG,0923,1600
0923_1600_U9TEJGM,0.6640625,0.6046511627906976,0.8604651162790697,0.5952380952380952,0.6470588235294118,0.627906976744186,0.6867847914359541,0.15048519159171464,0.2652270210409745,0.637482900136799,0.013542400734078905,U9TEJGM,0923,1600
0924_1000_539136F,0.7109375,0.6428571428571429,0.8333333333333334,0.6136363636363636,0.6583333333333333,0.875,0.6966089466089467,0.11930478585722001,0.21969696969696972,0.7666666666666666,0.1532064692570853,539136F,0924,1000
0924_1000_9M4VCHG,0.9153846153846154,0.7209302325581395,1.0,1.0,0.8849557522123894,0.7647058823529411,0.9069767441860465,0.16112100535524443,0.2790697674418605,0.8248308172826653,0.08502949841441572,9M4VCHG,0924,1000
0924_1000_U9TEJGM,0.8166666666666667,0.6923076923076923,0.9487179487179488,0.8095238095238095,0.8307692307692308,0.7818181818181819,0.816849816849817,0.12836201808011163,0.2564102564102565,0.8062937062937063,0.03461361865948135,U9TEJGM,0924,1000
0924_1600_539136F,0.864406779661017,0.5882352941176471,0.9047619047619048,1.0,0.903846153846154,0.2857142857142857,0.830999066293184,0.21556497977829586,0.4117647058823529,0.5947802197802199,0.4370852356235528,539136F,0924,1600
0924_1600_9M4VCHG,0.6076923076923076,0.5454545454545454,1.0,0.3255813953488372,0.6388888888888888,0.2272727272727272,0.6236786469344608,0.3439467562198551,0.6744186046511629,0.433080808080808,0.2910565791247658,9M4VCHG,0924,1600
0924_1600_U9TEJGM,0.6422764227642277,0.5116279069767442,0.6976744186046512,0.7837837837837838,0.6728971962616822,0.625,0.6643620364550596,0.1391024493799891,0.27215587680703957,0.6489485981308412,0.033868432276458436,U9TEJGM,0924,1600
